No.,Time,Source,Destination,Protocol,Length,Info,cumsum,Bytes in flight,good_time
17198,13.800213,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13523963 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411316,195732,124920,
17200,13.800279,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13525351 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411317,197192,123532,
17201,13.800286,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13526739 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411317,198652,124920,
17204,13.800382,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13528127 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411317,200112,117980,
17205,13.800389,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13529515 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411317,201572,119368,
17206,13.800423,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13530903 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411317,203032,120756,
17207,13.800429,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13532291 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411317,204492,122144,
17208,13.800463,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13533679 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411317,205952,123532,
17210,13.800491,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13535067 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411317,207412,124920,
17214,13.806214,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13536455 Ack=157 Win=87808 Len=1388 TSval=29486925 TSecr=2885411320,208872,123532,
